City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Oistins,BB,82.49,scattered clouds,13.0667,-59.5333,The Abidah By Accra
5,Cape Town,ZA,72.91,clear sky,-33.9258,18.4232,Townhouse Hotel
6,Rikitea,PF,73.89,light rain,-23.1203,-134.9692,Chez Bianca & Benoit
12,Puerto Leguizamo,CO,80.08,overcast clouds,-0.1934,-74.7819,Hotel Girasoles
13,Mar Del Plata,AR,83.82,clear sky,-38.0023,-57.5575,Nuevo Ostende
23,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,The Salt Raker Inn
27,Alta Floresta,BR,87.62,scattered clouds,-9.8756,-56.0861,Villas Hotel
30,Puerto Ayora,EC,71.55,overcast clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
42,Ituiutaba,BR,81.86,broken clouds,-18.9689,-49.465,Hotel Bernal
43,Hambantota,LK,76.91,overcast clouds,6.1241,81.1185,Oasis Aurweda Resort Hambathota
45,Naze,JP,72.52,overcast clouds,28.3667,129.4833,ビジネス旅館畠山
46,Hilo,US,79.61,light rain,19.7297,-155.09,Dolphin Bay Hotel
47,Dogondoutchi,NE,77.99,overcast clouds,13.6393,4.0287,Maison Alheri
48,Waingapu,ID,77.76,overcast clouds,-9.6567,120.2641,HOTEL SANDLEWOOD
52,Faanui,PF,78.69,clear sky,-16.4833,-151.75,Oa Oa Lodge
53,Lazaro Cardenas,MX,82.6,broken clouds,17.9583,-102.2,Hotel Sol del Pacífico
54,Cidreira,BR,70.43,clear sky,-30.1811,-50.2056,Hotel Castelo
55,Sao Filipe,CV,76.15,broken clouds,14.8961,-24.4956,Bela Vista
60,Kapaa,US,80.58,overcast clouds,22.0752,-159.319,Pono Kai Resort
62,Port-Gentil,GA,78.76,few clouds,-0.7193,8.7815,Tara-Mé
63,Pisco,PE,73.45,overcast clouds,-13.7,-76.2167,La Portada
65,Vao,NC,77.86,overcast clouds,-22.6667,167.4833,Nataiwatch
66,Atuona,PF,77.81,clear sky,-9.8,-139.0333,Pearl Resort
68,Grand Gaube,MU,75.6,overcast clouds,-20.0064,57.6608,Coco Villa
70,Todos Santos,MX,84.31,clear sky,23.45,-110.2167,Hotel Casa Tota
77,Soyo,AO,78.67,broken clouds,-6.1349,12.3689,Hotel Maria Teres
78,Cabo San Lucas,MX,81.61,clear sky,22.8909,-109.9124,Comfort Rooms
85,Avarua,CK,80.65,few clouds,-21.2078,-159.775,Paradise Inn
89,Vaitape,PF,78.69,clear sky,-16.5167,-151.75,Oa Oa Lodge
91,Souillac,MU,75.58,broken clouds,-20.5167,57.5167,Hotel SkylineInn
96,Georgetown,MY,79.23,few clouds,5.4112,100.3354,Page 63 hostel
98,Touros,BR,78.91,broken clouds,-5.1989,-35.4608,Pousada Atlântico
105,Isangel,VU,80.71,few clouds,-19.55,169.2667,Tanna Lodge
106,Saldanha,ZA,73.45,broken clouds,-33.0117,17.9442,Hoedjesbaai
108,Koungou,YT,78.51,clear sky,-12.7336,45.2042,Hôtel Trévani
117,Mahebourg,MU,75.49,broken clouds,-20.4081,57.7,Grand Bel Air
121,Monrovia,LR,78.42,scattered clouds,6.3005,-10.7969,Bella Casa Hotel
126,Rawson,AR,76.73,light rain,-43.3002,-65.1023,Hotel Deportivo
130,Kavieng,PG,82.94,few clouds,-2.5744,150.7967,Kavieng Hotel
134,Vaini,TO,82.56,few clouds,-21.2,-175.2,Keleti International Resort
142,Tindivanam,IN,72.52,scattered clouds,12.25,79.65,Aaryas bhavan
143,Tucson,US,74.86,overcast clouds,32.2217,-110.9265,La Quinta Inn & Suites
153,Daru,PG,76.53,overcast clouds,-9.0763,143.2092,Kuki
167,Neiafu,TO,80.08,overcast clouds,-18.65,-173.9833,Port Wine Guest House
168,Kahului,US,77.85,overcast clouds,20.8947,-156.47,Maui Seaside Hotel
180,Ewa Beach,US,77.09,light rain,21.3156,-158.0072,Hampton Inn & Suites Oahu/Kapolei
183,Saint-Philippe,RE,71.19,broken clouds,-21.3585,55.7679,Le Baril
184,San Cristobal,VE,74.75,overcast clouds,7.7669,-72.225,Terra Sur
186,Takoradi,GH,78.66,light rain,4.8845,-1.7554,Hillcrest
188,Podor,MR,81.19,overcast clouds,16.6527,-14.9587,La Cour du Fleuve
190,Vila Velha,BR,75.15,moderate rain,-20.3297,-40.2925,Hotel Prainha
196,Maddarulug,PH,73.33,few clouds,17.6167,121.6808,Las Palmas
197,Matara,LK,75.96,overcast clouds,5.9485,80.5353,Villa Palm Breeze
199,Guarapari,BR,73.06,moderate rain,-20.6667,-40.4975,Osmar Hotel
200,Cayenne,GF,80.64,clear sky,4.9333,-52.3333,Central Hôtel
205,Pontianak,ID,73.38,mist,-0.0333,109.3333,Golden Tulip Hotel
210,Hithadhoo,MV,80.62,scattered clouds,-0.6,73.0833,Pebbles Inn
215,Porto Novo,BJ,79.65,clear sky,6.4965,2.6036,Hôtel 6500 CFA
219,Paracatu,BR,78.46,heavy intensity rain,-17.2222,-46.8747,Hotel Presidente
220,Gizo,SB,82.51,light rain,-8.103,156.8419,Gizo Hotel
228,Inhambane,MZ,73.87,light rain,-23.865,35.3833,Hotel de Inhambane
233,Sao Joao Da Barra,BR,73.9,broken clouds,-21.6403,-41.0511,Pousada Mediterrâneo
234,Huarmey,PE,70.5,scattered clouds,-10.0681,-78.1522,Hostal Santa Rosa
236,Fare,PF,78.48,scattered clouds,-16.7,-151.0167,hôtel Maitai Lapita Village
238,Santiago De Cuba,CU,82.6,clear sky,20.0247,-75.8219,Rex
240,Mount Isa,AU,74.97,overcast clouds,-20.7333,139.5,Ibis Styles
242,Puerto Ayacucho,VE,78.01,overcast clouds,5.6639,-67.6236,Hotel VENETUR Amazonas
245,San Diego De Los Banos,CU,82.0,broken clouds,22.6467,-83.3697,Hotel Mirador
247,Hirara,JP,78.53,clear sky,24.8,125.2833,古謝そば屋
249,Cotonou,BJ,81.21,scattered clouds,6.3654,2.4183,BENIN ROYAL HOTEL
256,Mabaruma,GY,75.96,overcast clouds,8.2,-59.7833,Monty Brooms Hotel
258,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Fidji Motel
262,Maceio,BR,80.04,clear sky,-9.6658,-35.7353,Maceió Hostel e Pousada
263,Kourou,GF,80.65,overcast clouds,5.1552,-52.6478,SCI Horizon
272,Daoukro,CI,77.63,light rain,7.0591,-3.9631,Hôtel BEKANTI
275,Formosa,AR,89.58,few clouds,-26.1775,-58.1781,Hotel Hostal del Rey
276,Nouadhibou,MR,72.36,clear sky,20.931,-17.0347,Hotel valencia
280,Bosaso,SO,75.92,broken clouds,11.2842,49.1816,Bosaso hotel
283,Manta,EC,75.13,broken clouds,-0.95,-80.7333,La Gaviota
287,Kloulklubed,PW,79.3,broken clouds,7.0419,134.2556,The Adventures Inn
289,Bundaberg,AU,78.22,overcast clouds,-24.85,152.35,Young Australian Hotel
291,Mazatlan,MX,79.92,clear sky,23.2167,-106.4167,Mona Inn
296,Mecca,SA,77.81,broken clouds,21.4267,39.8261,Rehab Al Marwa Hotel 1
300,Bengkulu,ID,76.42,overcast clouds,-3.8004,102.2655,Dena Hotel
302,Eenhana,,76.19,overcast clouds,-17.4667,16.3333,Monte Carlo Guesthouse
303,Manzanillo,CU,87.13,few clouds,20.3433,-77.1167,Hotel Venus
306,Namibe,AO,70.21,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
