City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mombetsu,JP,44.3525,143.3525,38.17,86,100,8.95,light rain
1,Oistins,BB,13.0667,-59.5333,82.49,65,40,19.57,scattered clouds
2,Terrace,CA,54.5163,-128.6035,30.11,37,20,6.91,few clouds
3,Yellowknife,CA,62.456,-114.3525,-8.45,70,75,13.8,broken clouds
4,Jijiga,ET,9.35,42.8,59.7,46,45,10.25,scattered clouds
5,Cape Town,ZA,-33.9258,18.4232,72.91,68,0,5.75,clear sky
6,Rikitea,PF,-23.1203,-134.9692,73.89,78,56,7.87,light rain
7,Berezanka,UA,46.8526,31.388,42.69,86,100,11.03,overcast clouds
8,Keti Bandar,PK,24.1447,67.4497,75.15,59,4,7.27,clear sky
9,Alofi,NU,-19.0595,-169.9187,80.49,69,75,17.27,broken clouds
10,Shu,KZ,43.5983,73.7614,28.58,43,100,0.45,overcast clouds
11,Port Alfred,ZA,-33.5906,26.891,68.18,82,9,8.01,clear sky
12,Puerto Leguizamo,CO,-0.1934,-74.7819,80.08,84,100,2.82,overcast clouds
13,Mar Del Plata,AR,-38.0023,-57.5575,83.82,88,0,18.41,clear sky
14,Bambous Virieux,MU,-20.3428,57.7575,75.45,83,75,4.61,broken clouds
15,Guerrero Negro,MX,27.9769,-114.0611,68.16,55,9,11.34,clear sky
16,Hasaki,JP,35.7333,140.8333,57.6,66,97,24.49,overcast clouds
17,Dikson,RU,73.5069,80.5464,-1.59,99,86,3.06,overcast clouds
18,Busselton,AU,-33.65,115.3333,58.05,69,0,12.55,clear sky
19,Barrow,US,71.2906,-156.7887,-7.2,94,18,11.03,few clouds
20,Albany,US,42.6001,-73.9662,44.56,70,89,11.25,overcast clouds
21,Birin,NP,26.8865,88.0718,49.51,72,0,4.68,clear sky
22,Punta Arenas,CL,-53.15,-70.9167,59.02,66,87,25.14,overcast clouds
23,Cockburn Town,TC,21.4612,-71.1419,82.36,65,40,5.75,scattered clouds
24,Mount Gambier,AU,-37.8333,140.7667,53.73,87,46,5.03,scattered clouds
25,Teknaf,BD,20.8624,92.3058,74.59,91,6,3.49,clear sky
26,Hermanus,ZA,-34.4187,19.2345,69.8,78,8,9.82,clear sky
27,Alta Floresta,BR,-9.8756,-56.0861,87.62,58,40,5.75,scattered clouds
28,Ushuaia,AR,-54.8,-68.3,65.86,32,75,10.36,broken clouds
29,Saint Anthony,US,45.0205,-93.218,43.3,62,75,11.5,broken clouds
30,Puerto Ayora,EC,-0.7393,-90.3518,71.55,84,92,5.99,overcast clouds
31,Jamestown,US,42.097,-79.2353,37.02,67,100,13.8,overcast clouds
32,Beyneu,KZ,45.3167,55.2,31.08,61,92,9.4,overcast clouds
33,Muttupet,IN,10.4,79.4833,75.25,85,80,8.3,broken clouds
34,Faya,SA,18.3851,42.4509,57.31,65,4,3.51,clear sky
35,Tasiilaq,GL,65.6145,-37.6368,19.65,63,88,9.22,overcast clouds
36,Tessalit,ML,20.1986,1.0114,73.9,16,100,7.65,overcast clouds
